p=2
g, energy
0.0, -0.9999999999750825
0.25, -1.0156870118440362
0.5, -1.0650417283888753
0.75, -1.1497702922877653
1.0, -1.2553757944705564
1.25, -1.4033037279655174
1.5, -1.6288857071468366
1.75, -1.8959687944364418
2.0, -2.12705143485028


p=4
g, energy
0.0, -1.0000000000000004
0.25, -1.0156870118440353
0.5, -1.0635440740663136
0.75, -1.1464647721241048
1.0, -1.272542485937369
1.25, -1.4591722357724564
1.5, -1.6717364195300457
1.75, -1.8959687944364418
2.0, -2.1270512772804415


p=6
g, energy
0.0, -0.9999999999984439
0.25, -1.0156870118440364
0.5, -1.0635440740663138
0.75, -1.1464647915423072
1.0, -1.272542485937369
1.25, -1.459172235772457
1.5, -1.6717366238936102
1.75, -1.8959687944364418
2.0, -2.1270514348502796
