# g_value	energy	                error	                exact_energy
0.0	        -1.0000000000000004     1.0e-15	                -1.0
0.25	    -1.0156870118440353	    1.0087162216620982e-9   -1.0156870128527515
0.50        -1.0635440740663136     3.359070546160581e-7    -1.0635444099733682
0.75        -1.1464647721241048     1.4982246658856724e-5   -1.1464797543707637
1.00        -1.272542485937369      0.0006970587977934706   -1.2732395447351625
1.25        -1.4591722357724564     0.0005896498783586335   -1.459761885650815
1.50        -1.6717364195300457     0.0001898020061490424   -1.6719262215361947
1.75        -1.8959687944364418     7.813234620002163e-5    -1.8960469267826419
2.00        -2.1270512772804415     3.7542666294854143e-5   -2.1270888199467364
