# g_value	exact_energy_int	exact_energy_mps
0.0	-1.0000000000000002	1.0e-15
0.25	-1.0156870118440382	1.0087133350822342e-9
0.5	-1.0635440740663145	3.3590705372787966e-7
0.75	-1.1464647915423063	1.4962828457365518e-5
1.0	-1.272542485937369	0.0006970587977934706
1.25	-1.459172235772455	0.0005896498783599657
1.5	-1.6717366238936098	0.00018959764258497103
1.75	-1.895968794436442	7.813234619979958e-5
2.0	-2.1270514348502774	3.738509645900834e-5
