# g_value	energy	                error	                exact_energy
0.0	        -0.9999999999984439 	1.5560885913146194e-12	-1.0
0.25	    -1.0156870118440364	    1.0087151114390736e-9   -1.0156870128527515
0.5	        -1.0635440740663138	    3.3590705439401347e-7	-1.0635444099733682
0.75	    -1.1464647915423072	    1.496282845647734e-5	-1.1464797543707637
1.0	        -1.272542485937369	    0.0006970587977934706	-1.2732395447351625
1.25	    -1.459172235772457	    0.0005896498783579673	-1.459761885650815
1.50        -1.6717366238936102     0.00018959764258452694  -1.6719262215361947
1.75        -1.8959687944364418     7.813234620002163e-5    -1.8960469267826419
2.00        -2.1270514348502796     3.738509645678789e-5    -2.1270888199467364
